Year,Filename,Topic,Paragraph_Length,Theme,Topic Interpretation,Group
2015,doc_AY2015_397_para_781_5544.txt,13,123,Operational Readiness and Reserve Mobilization,Brigade Combat Team Readiness,G1
2015,doc_AY2015_397_para_781_5546.txt,2,89,"Strategic Command, Technology, and Multi-Domain Warfare",Headquarters Operations and Integration,G2
2015,doc_AY2015_397_para_781_5548.txt,6,96,Operational Readiness and Reserve Mobilization,Unit Training and Readiness Cycle,G1
2015,doc_AY2015_397_para_781_5549.txt,20,101,Operational Readiness and Reserve Mobilization,Equipment Maintenance and Deployment Support,G1
2015,doc_AY2015_397_para_781_5550.txt,2,124,"Strategic Command, Technology, and Multi-Domain Warfare",Headquarters Operations and Integration,G2
2015,doc_AY2015_404_para_788_5599.txt,0,179,"Strategic Command, Technology, and Multi-Domain Warfare",Command Philosophy and Leadership Doctrine,G2
2015,doc_AY2015_404_para_788_5600.txt,0,170,"Strategic Command, Technology, and Multi-Domain Warfare",Command Philosophy and Leadership Doctrine,G2
2015,doc_AY2015_408_para_792_5630.txt,1,193,"Strategic Command, Technology, and Multi-Domain Warfare",Unmanned Aerial Systems and Aviation Tech,G2
2015,doc_AY2015_408_para_792_5631.txt,1,129,"Strategic Command, Technology, and Multi-Domain Warfare",Unmanned Aerial Systems and Aviation Tech,G2
2015,doc_AY2015_408_para_792_5632.txt,1,180,"Strategic Command, Technology, and Multi-Domain Warfare",Unmanned Aerial Systems and Aviation Tech,G2
2015,doc_AY2015_408_para_792_5633.txt,1,96,"Strategic Command, Technology, and Multi-Domain Warfare",Unmanned Aerial Systems and Aviation Tech,G2
2015,doc_AY2015_408_para_792_5635.txt,1,163,"Strategic Command, Technology, and Multi-Domain Warfare",Unmanned Aerial Systems and Aviation Tech,G2
2015,doc_AY2015_408_para_792_5636.txt,1,123,"Strategic Command, Technology, and Multi-Domain Warfare",Unmanned Aerial Systems and Aviation Tech,G2
2015,doc_AY2015_409_para_793_5637.txt,1,79,"Strategic Command, Technology, and Multi-Domain Warfare",Unmanned Aerial Systems and Aviation Tech,G2
2015,doc_AY2015_409_para_793_5638.txt,1,234,"Strategic Command, Technology, and Multi-Domain Warfare",Unmanned Aerial Systems and Aviation Tech,G2
2015,doc_AY2015_409_para_793_5639.txt,1,113,"Strategic Command, Technology, and Multi-Domain Warfare",Unmanned Aerial Systems and Aviation Tech,G2
2015,doc_AY2015_409_para_793_5640.txt,1,91,"Strategic Command, Technology, and Multi-Domain Warfare",Unmanned Aerial Systems and Aviation Tech,G2
2015,doc_AY2015_409_para_793_5641.txt,2,104,"Strategic Command, Technology, and Multi-Domain Warfare",Headquarters Operations and Integration,G2
2015,doc_AY2015_409_para_793_5642.txt,1,138,"Strategic Command, Technology, and Multi-Domain Warfare",Unmanned Aerial Systems and Aviation Tech,G2
2015,doc_AY2015_416_para_800_5676.txt,10,253,Operational Readiness and Reserve Mobilization,Army Reserve and Active Component Integration,G1
2015,doc_AY2015_416_para_800_5678.txt,2,125,"Strategic Command, Technology, and Multi-Domain Warfare",Headquarters Operations and Integration,G2
2015,doc_AY2015_416_para_800_5679.txt,2,178,"Strategic Command, Technology, and Multi-Domain Warfare",Headquarters Operations and Integration,G2
2015,doc_AY2015_416_para_800_5680.txt,17,108,"Strategic Command, Technology, and Multi-Domain Warfare",Security Force Assistance Brigades,G2
2015,doc_AY2015_416_para_800_5681.txt,2,137,"Strategic Command, Technology, and Multi-Domain Warfare",Headquarters Operations and Integration,G2
2015,doc_AY2015_416_para_800_5682.txt,2,113,"Strategic Command, Technology, and Multi-Domain Warfare",Headquarters Operations and Integration,G2
2015,doc_AY2015_421_para_805_5715.txt,20,155,Operational Readiness and Reserve Mobilization,Equipment Maintenance and Deployment Support,G1
2015,doc_AY2015_426_para_810_5752.txt,1,120,"Strategic Command, Technology, and Multi-Domain Warfare",Unmanned Aerial Systems and Aviation Tech,G2
2015,doc_AY2015_426_para_810_5753.txt,1,112,"Strategic Command, Technology, and Multi-Domain Warfare",Unmanned Aerial Systems and Aviation Tech,G2
2015,doc_AY2015_426_para_810_5754.txt,1,175,"Strategic Command, Technology, and Multi-Domain Warfare",Unmanned Aerial Systems and Aviation Tech,G2
2015,doc_AY2015_426_para_810_5755.txt,1,125,"Strategic Command, Technology, and Multi-Domain Warfare",Unmanned Aerial Systems and Aviation Tech,G2
2015,doc_AY2015_428_para_812_5768.txt,3,103,Operational Readiness and Reserve Mobilization,National Guard and Reserve Components,G1
2015,doc_AY2015_428_para_812_5769.txt,6,136,Operational Readiness and Reserve Mobilization,Unit Training and Readiness Cycle,G1
2015,doc_AY2015_428_para_812_5770.txt,3,140,Operational Readiness and Reserve Mobilization,National Guard and Reserve Components,G1
2015,doc_AY2015_434_para_818_5816.txt,0,107,"Strategic Command, Technology, and Multi-Domain Warfare",Command Philosophy and Leadership Doctrine,G2
2016,doc_AY2016_001_para_824_5856.txt,1,106,"Strategic Command, Technology, and Multi-Domain Warfare",Unmanned Aerial Systems and Aviation Tech,G2
2016,doc_AY2016_001_para_824_5858.txt,1,172,"Strategic Command, Technology, and Multi-Domain Warfare",Unmanned Aerial Systems and Aviation Tech,G2
2016,doc_AY2016_001_para_824_5859.txt,1,135,"Strategic Command, Technology, and Multi-Domain Warfare",Unmanned Aerial Systems and Aviation Tech,G2
2016,doc_AY2016_001_para_824_5861.txt,1,111,"Strategic Command, Technology, and Multi-Domain Warfare",Unmanned Aerial Systems and Aviation Tech,G2
2016,doc_AY2016_002_para_825_5862.txt,8,116,"Strategic Command, Technology, and Multi-Domain Warfare",Additive Manufacturing Technologies,G2
2016,doc_AY2016_002_para_825_5863.txt,8,307,"Strategic Command, Technology, and Multi-Domain Warfare",Additive Manufacturing Technologies,G2
2016,doc_AY2016_002_para_825_5864.txt,8,144,"Strategic Command, Technology, and Multi-Domain Warfare",Additive Manufacturing Technologies,G2
2016,doc_AY2016_002_para_825_5865.txt,7,125,"Strategic Command, Technology, and Multi-Domain Warfare",Multi-Domain Operations Concepts,G2
2016,doc_AY2016_002_para_825_5866.txt,8,128,"Strategic Command, Technology, and Multi-Domain Warfare",Additive Manufacturing Technologies,G2
2016,doc_AY2016_003_para_826_5874.txt,4,116,"Strategic Command, Technology, and Multi-Domain Warfare",Regional Alignment and Funding Support,G2
2016,doc_AY2016_004_para_827_5875.txt,16,123,Operational Readiness and Reserve Mobilization,Annual Training Requirements for Reserves,G1
2016,doc_AY2016_004_para_827_5878.txt,12,87,Operational Readiness and Reserve Mobilization,Leadership Development and Combat Planning,G1
2016,doc_AY2016_006_para_829_5887.txt,14,160,Operational Readiness and Reserve Mobilization,Operational Reserve Training and Mobilization,G1
2016,doc_AY2016_006_para_829_5888.txt,14,190,Operational Readiness and Reserve Mobilization,Operational Reserve Training and Mobilization,G1
2016,doc_AY2016_006_para_829_5890.txt,10,203,Operational Readiness and Reserve Mobilization,Army Reserve and Active Component Integration,G1
2016,doc_AY2016_006_para_829_5891.txt,6,158,Operational Readiness and Reserve Mobilization,Unit Training and Readiness Cycle,G1
2016,doc_AY2016_007_para_830_5892.txt,8,97,"Strategic Command, Technology, and Multi-Domain Warfare",Additive Manufacturing Technologies,G2
2016,doc_AY2016_007_para_830_5893.txt,8,121,"Strategic Command, Technology, and Multi-Domain Warfare",Additive Manufacturing Technologies,G2
2016,doc_AY2016_007_para_830_5894.txt,8,97,"Strategic Command, Technology, and Multi-Domain Warfare",Additive Manufacturing Technologies,G2
2016,doc_AY2016_007_para_830_5896.txt,8,102,"Strategic Command, Technology, and Multi-Domain Warfare",Additive Manufacturing Technologies,G2
2016,doc_AY2016_007_para_830_5897.txt,8,75,"Strategic Command, Technology, and Multi-Domain Warfare",Additive Manufacturing Technologies,G2
2016,doc_AY2016_007_para_830_5898.txt,8,75,"Strategic Command, Technology, and Multi-Domain Warfare",Additive Manufacturing Technologies,G2
2016,doc_AY2016_010_para_833_5917.txt,2,97,"Strategic Command, Technology, and Multi-Domain Warfare",Headquarters Operations and Integration,G2
2016,doc_AY2016_011_para_834_5920.txt,2,96,"Strategic Command, Technology, and Multi-Domain Warfare",Headquarters Operations and Integration,G2
2016,doc_AY2016_019_para_842_5975.txt,10,140,Operational Readiness and Reserve Mobilization,Army Reserve and Active Component Integration,G1
2016,doc_AY2016_019_para_842_5979.txt,10,162,Operational Readiness and Reserve Mobilization,Army Reserve and Active Component Integration,G1
2016,doc_AY2016_021_para_844_5990.txt,7,130,"Strategic Command, Technology, and Multi-Domain Warfare",Multi-Domain Operations Concepts,G2
2016,doc_AY2016_021_para_844_5991.txt,10,142,Operational Readiness and Reserve Mobilization,Army Reserve and Active Component Integration,G1
2016,doc_AY2016_021_para_844_5995.txt,2,153,"Strategic Command, Technology, and Multi-Domain Warfare",Headquarters Operations and Integration,G2
2016,doc_AY2016_024_para_847_6015.txt,2,184,"Strategic Command, Technology, and Multi-Domain Warfare",Headquarters Operations and Integration,G2
2016,doc_AY2016_024_para_847_6016.txt,20,145,Operational Readiness and Reserve Mobilization,Equipment Maintenance and Deployment Support,G1
2016,doc_AY2016_026_para_849_6033.txt,0,143,"Strategic Command, Technology, and Multi-Domain Warfare",Command Philosophy and Leadership Doctrine,G2
2016,doc_AY2016_026_para_849_6034.txt,0,233,"Strategic Command, Technology, and Multi-Domain Warfare",Command Philosophy and Leadership Doctrine,G2
2016,doc_AY2016_026_para_849_6035.txt,0,63,"Strategic Command, Technology, and Multi-Domain Warfare",Command Philosophy and Leadership Doctrine,G2
2016,doc_AY2016_027_para_850_6036.txt,10,135,Operational Readiness and Reserve Mobilization,Army Reserve and Active Component Integration,G1
2016,doc_AY2016_027_para_850_6042.txt,10,142,Operational Readiness and Reserve Mobilization,Army Reserve and Active Component Integration,G1
2016,doc_AY2016_031_para_854_6062.txt,3,187,Operational Readiness and Reserve Mobilization,National Guard and Reserve Components,G1
2016,doc_AY2016_031_para_854_6063.txt,18,153,Operational Readiness and Reserve Mobilization,Reserve Support and Mobilization Duties,G1
2016,doc_AY2016_031_para_854_6064.txt,14,176,Operational Readiness and Reserve Mobilization,Operational Reserve Training and Mobilization,G1
2016,doc_AY2016_031_para_854_6065.txt,3,164,Operational Readiness and Reserve Mobilization,National Guard and Reserve Components,G1
2016,doc_AY2016_031_para_854_6066.txt,-1,110,Outlier,Outliers,G0
2016,doc_AY2016_031_para_854_6067.txt,13,114,Operational Readiness and Reserve Mobilization,Brigade Combat Team Readiness,G1
2016,doc_AY2016_036_para_859_6100.txt,19,186,Operational Readiness and Reserve Mobilization,Sustainment and Modernization Efforts,G1
2016,doc_AY2016_036_para_859_6102.txt,19,111,Operational Readiness and Reserve Mobilization,Sustainment and Modernization Efforts,G1
2016,doc_AY2016_047_para_870_6176.txt,10,138,Operational Readiness and Reserve Mobilization,Army Reserve and Active Component Integration,G1
2016,doc_AY2016_047_para_870_6177.txt,1,110,"Strategic Command, Technology, and Multi-Domain Warfare",Unmanned Aerial Systems and Aviation Tech,G2
2016,doc_AY2016_047_para_870_6179.txt,1,189,"Strategic Command, Technology, and Multi-Domain Warfare",Unmanned Aerial Systems and Aviation Tech,G2
2016,doc_AY2016_047_para_870_6181.txt,1,93,"Strategic Command, Technology, and Multi-Domain Warfare",Unmanned Aerial Systems and Aviation Tech,G2
2016,doc_AY2016_047_para_870_6182.txt,1,76,"Strategic Command, Technology, and Multi-Domain Warfare",Unmanned Aerial Systems and Aviation Tech,G2
2016,doc_AY2016_047_para_870_6183.txt,1,71,"Strategic Command, Technology, and Multi-Domain Warfare",Unmanned Aerial Systems and Aviation Tech,G2
2016,doc_AY2016_048_para_871_6186.txt,0,129,"Strategic Command, Technology, and Multi-Domain Warfare",Command Philosophy and Leadership Doctrine,G2
2016,doc_AY2016_048_para_871_6187.txt,0,147,"Strategic Command, Technology, and Multi-Domain Warfare",Command Philosophy and Leadership Doctrine,G2
2016,doc_AY2016_048_para_871_6189.txt,12,145,Operational Readiness and Reserve Mobilization,Leadership Development and Combat Planning,G1
2016,doc_AY2016_048_para_871_6190.txt,0,97,"Strategic Command, Technology, and Multi-Domain Warfare",Command Philosophy and Leadership Doctrine,G2
2016,doc_AY2016_048_para_871_6191.txt,12,114,Operational Readiness and Reserve Mobilization,Leadership Development and Combat Planning,G1
2016,doc_AY2016_049_para_872_6196.txt,3,174,Operational Readiness and Reserve Mobilization,National Guard and Reserve Components,G1
2016,doc_AY2016_053_para_876_6218.txt,13,131,Operational Readiness and Reserve Mobilization,Brigade Combat Team Readiness,G1
2016,doc_AY2016_053_para_876_6220.txt,10,93,Operational Readiness and Reserve Mobilization,Army Reserve and Active Component Integration,G1
2016,doc_AY2016_054_para_877_6226.txt,5,124,"Strategic Command, Technology, and Multi-Domain Warfare",Defense Logistics and Enterprise Management,G2
2016,doc_AY2016_057_para_880_6242.txt,17,126,"Strategic Command, Technology, and Multi-Domain Warfare",Security Force Assistance Brigades,G2
2016,doc_AY2016_057_para_880_6243.txt,17,90,"Strategic Command, Technology, and Multi-Domain Warfare",Security Force Assistance Brigades,G2
2016,doc_AY2016_057_para_880_6244.txt,17,125,"Strategic Command, Technology, and Multi-Domain Warfare",Security Force Assistance Brigades,G2
2016,doc_AY2016_057_para_880_6245.txt,2,125,"Strategic Command, Technology, and Multi-Domain Warfare",Headquarters Operations and Integration,G2
2016,doc_AY2016_057_para_880_6246.txt,17,146,"Strategic Command, Technology, and Multi-Domain Warfare",Security Force Assistance Brigades,G2
2016,doc_AY2016_057_para_880_6247.txt,17,82,"Strategic Command, Technology, and Multi-Domain Warfare",Security Force Assistance Brigades,G2
2016,doc_AY2016_059_para_882_6256.txt,2,110,"Strategic Command, Technology, and Multi-Domain Warfare",Headquarters Operations and Integration,G2
2016,doc_AY2016_059_para_882_6261.txt,16,101,Operational Readiness and Reserve Mobilization,Annual Training Requirements for Reserves,G1
2016,doc_AY2016_064_para_887_6290.txt,0,117,"Strategic Command, Technology, and Multi-Domain Warfare",Command Philosophy and Leadership Doctrine,G2
2016,doc_AY2016_064_para_887_6291.txt,0,150,"Strategic Command, Technology, and Multi-Domain Warfare",Command Philosophy and Leadership Doctrine,G2
2016,doc_AY2016_066_para_889_6309.txt,4,224,"Strategic Command, Technology, and Multi-Domain Warfare",Regional Alignment and Funding Support,G2
2016,doc_AY2016_077_para_900_6386.txt,0,118,"Strategic Command, Technology, and Multi-Domain Warfare",Command Philosophy and Leadership Doctrine,G2
2016,doc_AY2016_077_para_900_6387.txt,0,101,"Strategic Command, Technology, and Multi-Domain Warfare",Command Philosophy and Leadership Doctrine,G2
2016,doc_AY2016_077_para_900_6388.txt,0,133,"Strategic Command, Technology, and Multi-Domain Warfare",Command Philosophy and Leadership Doctrine,G2
2016,doc_AY2016_077_para_900_6389.txt,0,141,"Strategic Command, Technology, and Multi-Domain Warfare",Command Philosophy and Leadership Doctrine,G2
2016,doc_AY2016_077_para_900_6390.txt,0,96,"Strategic Command, Technology, and Multi-Domain Warfare",Command Philosophy and Leadership Doctrine,G2
2016,doc_AY2016_077_para_900_6391.txt,0,98,"Strategic Command, Technology, and Multi-Domain Warfare",Command Philosophy and Leadership Doctrine,G2
2016,doc_AY2016_077_para_900_6392.txt,0,144,"Strategic Command, Technology, and Multi-Domain Warfare",Command Philosophy and Leadership Doctrine,G2
2016,doc_AY2016_077_para_900_6395.txt,0,107,"Strategic Command, Technology, and Multi-Domain Warfare",Command Philosophy and Leadership Doctrine,G2
2016,doc_AY2016_090_para_913_6487.txt,12,121,Operational Readiness and Reserve Mobilization,Leadership Development and Combat Planning,G1
2016,doc_AY2016_091_para_914_6491.txt,13,139,Operational Readiness and Reserve Mobilization,Brigade Combat Team Readiness,G1
2016,doc_AY2016_106_para_929_6588.txt,0,95,"Strategic Command, Technology, and Multi-Domain Warfare",Command Philosophy and Leadership Doctrine,G2
2016,doc_AY2016_108_para_931_6603.txt,0,183,"Strategic Command, Technology, and Multi-Domain Warfare",Command Philosophy and Leadership Doctrine,G2
2016,doc_AY2016_119_para_942_6676.txt,-1,95,Outlier,Outliers,G0
2016,doc_AY2016_119_para_942_6678.txt,13,168,Operational Readiness and Reserve Mobilization,Brigade Combat Team Readiness,G1
2016,doc_AY2016_119_para_942_6679.txt,15,147,"Strategic Command, Technology, and Multi-Domain Warfare",Artillery and Missile Capability Integration,G2
2016,doc_AY2016_119_para_942_6680.txt,1,134,"Strategic Command, Technology, and Multi-Domain Warfare",Unmanned Aerial Systems and Aviation Tech,G2
2016,doc_AY2016_125_para_948_6723.txt,4,176,"Strategic Command, Technology, and Multi-Domain Warfare",Regional Alignment and Funding Support,G2
2016,doc_AY2016_130_para_953_6761.txt,7,107,"Strategic Command, Technology, and Multi-Domain Warfare",Multi-Domain Operations Concepts,G2
2016,doc_AY2016_130_para_953_6765.txt,0,72,"Strategic Command, Technology, and Multi-Domain Warfare",Command Philosophy and Leadership Doctrine,G2
2016,doc_AY2016_130_para_953_6766.txt,0,161,"Strategic Command, Technology, and Multi-Domain Warfare",Command Philosophy and Leadership Doctrine,G2
2016,doc_AY2016_136_para_958_6820.txt,7,193,"Strategic Command, Technology, and Multi-Domain Warfare",Multi-Domain Operations Concepts,G2
2016,doc_AY2016_138_para_960_6830.txt,5,138,"Strategic Command, Technology, and Multi-Domain Warfare",Defense Logistics and Enterprise Management,G2
2016,doc_AY2016_138_para_960_6831.txt,5,99,"Strategic Command, Technology, and Multi-Domain Warfare",Defense Logistics and Enterprise Management,G2
2016,doc_AY2016_138_para_960_6835.txt,5,92,"Strategic Command, Technology, and Multi-Domain Warfare",Defense Logistics and Enterprise Management,G2
2016,doc_AY2016_150_para_972_6912.txt,11,206,"Strategic Command, Technology, and Multi-Domain Warfare",Domain Warfare and Artillery Operations,G2
2016,doc_AY2016_150_para_972_6913.txt,2,204,"Strategic Command, Technology, and Multi-Domain Warfare",Headquarters Operations and Integration,G2
2016,doc_AY2016_150_para_972_6914.txt,2,282,"Strategic Command, Technology, and Multi-Domain Warfare",Headquarters Operations and Integration,G2
2016,doc_AY2016_150_para_972_6915.txt,-1,134,Outlier,Outliers,G0
2016,doc_AY2016_150_para_972_6916.txt,2,111,"Strategic Command, Technology, and Multi-Domain Warfare",Headquarters Operations and Integration,G2
2016,doc_AY2016_150_para_972_6917.txt,-1,136,Outlier,Outliers,G0
2016,doc_AY2016_150_para_972_6918.txt,10,130,Operational Readiness and Reserve Mobilization,Army Reserve and Active Component Integration,G1
2016,doc_AY2016_159_para_981_6976.txt,12,106,Operational Readiness and Reserve Mobilization,Leadership Development and Combat Planning,G1
2016,doc_AY2016_160_para_982_6979.txt,8,103,"Strategic Command, Technology, and Multi-Domain Warfare",Additive Manufacturing Technologies,G2
2016,doc_AY2016_160_para_982_6980.txt,8,95,"Strategic Command, Technology, and Multi-Domain Warfare",Additive Manufacturing Technologies,G2
2016,doc_AY2016_160_para_982_6981.txt,20,152,Operational Readiness and Reserve Mobilization,Equipment Maintenance and Deployment Support,G1
2016,doc_AY2016_160_para_982_6982.txt,8,213,"Strategic Command, Technology, and Multi-Domain Warfare",Additive Manufacturing Technologies,G2
2016,doc_AY2016_160_para_982_6983.txt,8,154,"Strategic Command, Technology, and Multi-Domain Warfare",Additive Manufacturing Technologies,G2
2016,doc_AY2016_160_para_982_6984.txt,8,199,"Strategic Command, Technology, and Multi-Domain Warfare",Additive Manufacturing Technologies,G2
2016,doc_AY2016_161_para_983_6990.txt,13,207,Operational Readiness and Reserve Mobilization,Brigade Combat Team Readiness,G1
2016,doc_AY2016_163_para_985_7002.txt,7,84,"Strategic Command, Technology, and Multi-Domain Warfare",Multi-Domain Operations Concepts,G2
2016,doc_AY2016_169_para_991_7043.txt,0,85,"Strategic Command, Technology, and Multi-Domain Warfare",Command Philosophy and Leadership Doctrine,G2
2016,doc_AY2016_169_para_991_7044.txt,0,90,"Strategic Command, Technology, and Multi-Domain Warfare",Command Philosophy and Leadership Doctrine,G2
2016,doc_AY2016_181_para_1003_7118.txt,0,113,"Strategic Command, Technology, and Multi-Domain Warfare",Command Philosophy and Leadership Doctrine,G2
2016,doc_AY2016_181_para_1003_7119.txt,0,169,"Strategic Command, Technology, and Multi-Domain Warfare",Command Philosophy and Leadership Doctrine,G2
2016,doc_AY2016_181_para_1003_7120.txt,0,188,"Strategic Command, Technology, and Multi-Domain Warfare",Command Philosophy and Leadership Doctrine,G2
2016,doc_AY2016_181_para_1003_7122.txt,0,89,"Strategic Command, Technology, and Multi-Domain Warfare",Command Philosophy and Leadership Doctrine,G2
2016,doc_AY2016_184_para_1006_7141.txt,2,205,"Strategic Command, Technology, and Multi-Domain Warfare",Headquarters Operations and Integration,G2
2016,doc_AY2016_184_para_1006_7143.txt,2,225,"Strategic Command, Technology, and Multi-Domain Warfare",Headquarters Operations and Integration,G2
2016,doc_AY2016_184_para_1006_7144.txt,2,98,"Strategic Command, Technology, and Multi-Domain Warfare",Headquarters Operations and Integration,G2
2016,doc_AY2016_185_para_1007_7145.txt,1,98,"Strategic Command, Technology, and Multi-Domain Warfare",Unmanned Aerial Systems and Aviation Tech,G2
2016,doc_AY2016_185_para_1007_7146.txt,1,159,"Strategic Command, Technology, and Multi-Domain Warfare",Unmanned Aerial Systems and Aviation Tech,G2
2016,doc_AY2016_185_para_1007_7147.txt,20,125,Operational Readiness and Reserve Mobilization,Equipment Maintenance and Deployment Support,G1
2016,doc_AY2016_185_para_1007_7148.txt,1,156,"Strategic Command, Technology, and Multi-Domain Warfare",Unmanned Aerial Systems and Aviation Tech,G2
2016,doc_AY2016_185_para_1007_7149.txt,1,102,"Strategic Command, Technology, and Multi-Domain Warfare",Unmanned Aerial Systems and Aviation Tech,G2
2016,doc_AY2016_185_para_1007_7152.txt,1,89,"Strategic Command, Technology, and Multi-Domain Warfare",Unmanned Aerial Systems and Aviation Tech,G2
2016,doc_AY2016_194_para_1016_7206.txt,0,181,"Strategic Command, Technology, and Multi-Domain Warfare",Command Philosophy and Leadership Doctrine,G2
2016,doc_AY2016_201_para_1023_7249.txt,14,115,Operational Readiness and Reserve Mobilization,Operational Reserve Training and Mobilization,G1
2016,doc_AY2016_201_para_1023_7251.txt,14,134,Operational Readiness and Reserve Mobilization,Operational Reserve Training and Mobilization,G1
2016,doc_AY2016_201_para_1023_7252.txt,2,130,"Strategic Command, Technology, and Multi-Domain Warfare",Headquarters Operations and Integration,G2
2016,doc_AY2016_201_para_1023_7253.txt,13,115,Operational Readiness and Reserve Mobilization,Brigade Combat Team Readiness,G1
2016,doc_AY2016_201_para_1023_7254.txt,2,126,"Strategic Command, Technology, and Multi-Domain Warfare",Headquarters Operations and Integration,G2
2016,doc_AY2016_201_para_1023_7255.txt,18,114,Operational Readiness and Reserve Mobilization,Reserve Support and Mobilization Duties,G1
2016,doc_AY2016_201_para_1023_7256.txt,13,111,Operational Readiness and Reserve Mobilization,Brigade Combat Team Readiness,G1
2016,doc_AY2016_201_para_1023_7257.txt,2,85,"Strategic Command, Technology, and Multi-Domain Warfare",Headquarters Operations and Integration,G2
2016,doc_AY2016_202_para_1024_7258.txt,14,106,Operational Readiness and Reserve Mobilization,Operational Reserve Training and Mobilization,G1
2016,doc_AY2016_202_para_1024_7259.txt,18,76,Operational Readiness and Reserve Mobilization,Reserve Support and Mobilization Duties,G1
2016,doc_AY2016_202_para_1024_7260.txt,14,140,Operational Readiness and Reserve Mobilization,Operational Reserve Training and Mobilization,G1
2016,doc_AY2016_202_para_1024_7261.txt,16,99,Operational Readiness and Reserve Mobilization,Annual Training Requirements for Reserves,G1
2016,doc_AY2016_202_para_1024_7262.txt,13,140,Operational Readiness and Reserve Mobilization,Brigade Combat Team Readiness,G1
2016,doc_AY2016_202_para_1024_7263.txt,18,155,Operational Readiness and Reserve Mobilization,Reserve Support and Mobilization Duties,G1
2016,doc_AY2016_202_para_1024_7264.txt,6,77,Operational Readiness and Reserve Mobilization,Unit Training and Readiness Cycle,G1
2016,doc_AY2016_202_para_1024_7265.txt,14,95,Operational Readiness and Reserve Mobilization,Operational Reserve Training and Mobilization,G1
2016,doc_AY2016_202_para_1024_7266.txt,6,72,Operational Readiness and Reserve Mobilization,Unit Training and Readiness Cycle,G1
2016,doc_AY2016_203_para_1025_7274.txt,0,96,"Strategic Command, Technology, and Multi-Domain Warfare",Command Philosophy and Leadership Doctrine,G2
2016,doc_AY2016_203_para_1025_7275.txt,0,73,"Strategic Command, Technology, and Multi-Domain Warfare",Command Philosophy and Leadership Doctrine,G2
2016,doc_AY2016_207_para_1029_7298.txt,14,119,Operational Readiness and Reserve Mobilization,Operational Reserve Training and Mobilization,G1
2016,doc_AY2016_207_para_1029_7299.txt,6,128,Operational Readiness and Reserve Mobilization,Unit Training and Readiness Cycle,G1
2016,doc_AY2016_207_para_1029_7300.txt,2,149,"Strategic Command, Technology, and Multi-Domain Warfare",Headquarters Operations and Integration,G2
2016,doc_AY2016_207_para_1029_7301.txt,12,189,Operational Readiness and Reserve Mobilization,Leadership Development and Combat Planning,G1
2016,doc_AY2016_207_para_1029_7303.txt,16,148,Operational Readiness and Reserve Mobilization,Annual Training Requirements for Reserves,G1
2016,doc_AY2016_212_para_1034_7334.txt,10,154,Operational Readiness and Reserve Mobilization,Army Reserve and Active Component Integration,G1
2016,doc_AY2016_212_para_1034_7335.txt,18,106,Operational Readiness and Reserve Mobilization,Reserve Support and Mobilization Duties,G1
2016,doc_AY2016_212_para_1034_7336.txt,18,105,Operational Readiness and Reserve Mobilization,Reserve Support and Mobilization Duties,G1
2016,doc_AY2016_214_para_1036_7345.txt,0,123,"Strategic Command, Technology, and Multi-Domain Warfare",Command Philosophy and Leadership Doctrine,G2
2016,doc_AY2016_214_para_1036_7346.txt,0,171,"Strategic Command, Technology, and Multi-Domain Warfare",Command Philosophy and Leadership Doctrine,G2
2016,doc_AY2016_214_para_1036_7347.txt,0,183,"Strategic Command, Technology, and Multi-Domain Warfare",Command Philosophy and Leadership Doctrine,G2
2016,doc_AY2016_214_para_1036_7348.txt,12,108,Operational Readiness and Reserve Mobilization,Leadership Development and Combat Planning,G1
2016,doc_AY2016_214_para_1036_7349.txt,12,163,Operational Readiness and Reserve Mobilization,Leadership Development and Combat Planning,G1
2016,doc_AY2016_214_para_1036_7350.txt,16,120,Operational Readiness and Reserve Mobilization,Annual Training Requirements for Reserves,G1
2016,doc_AY2016_214_para_1036_7351.txt,12,160,Operational Readiness and Reserve Mobilization,Leadership Development and Combat Planning,G1
2016,doc_AY2016_214_para_1036_7352.txt,12,87,Operational Readiness and Reserve Mobilization,Leadership Development and Combat Planning,G1
2016,doc_AY2016_215_para_1037_7353.txt,0,97,"Strategic Command, Technology, and Multi-Domain Warfare",Command Philosophy and Leadership Doctrine,G2
2016,doc_AY2016_215_para_1037_7354.txt,0,137,"Strategic Command, Technology, and Multi-Domain Warfare",Command Philosophy and Leadership Doctrine,G2
2016,doc_AY2016_215_para_1037_7358.txt,7,136,"Strategic Command, Technology, and Multi-Domain Warfare",Multi-Domain Operations Concepts,G2
2016,doc_AY2016_215_para_1037_7361.txt,0,93,"Strategic Command, Technology, and Multi-Domain Warfare",Command Philosophy and Leadership Doctrine,G2
2016,doc_AY2016_216_para_1038_7363.txt,0,121,"Strategic Command, Technology, and Multi-Domain Warfare",Command Philosophy and Leadership Doctrine,G2
2016,doc_AY2016_216_para_1038_7364.txt,0,325,"Strategic Command, Technology, and Multi-Domain Warfare",Command Philosophy and Leadership Doctrine,G2
2016,doc_AY2016_216_para_1038_7366.txt,0,96,"Strategic Command, Technology, and Multi-Domain Warfare",Command Philosophy and Leadership Doctrine,G2
2016,doc_AY2016_216_para_1038_7367.txt,0,167,"Strategic Command, Technology, and Multi-Domain Warfare",Command Philosophy and Leadership Doctrine,G2
